carbonate_host,lithology_code,dist_faults,moho_depth,lab_depth,gravity,gravity_hgm,mag_rtp,mag_hgm,shape_index,label,x,y,row,col
0.0,5.0,4924.4287,45.20235,201.31439,-690.5209,0.006910999,208.2923,3.1751663e-06,-0.7882365,0,-166250.0,-2619750.0,2934,319
0.0,5.0,89589.34,42.45924,175.44774,44.376953,0.002601067,150.68988,9.004537e-06,-0.31920278,0,47250.0,-1751750.0,1198,746
1.0,1.0,5408.327,44.432465,198.50282,-492.54462,0.008066338,124.816795,3.2912687e-06,-0.946645,0,48750.0,-2746750.0,3188,749
0.0,4.0,4031.129,43.452263,210.38829,-735.34033,0.005180234,139.60934,2.0354482e-06,-0.7328418,0,201750.0,-2590250.0,2875,1055
0.0,5.0,74946.65,43.022472,182.78288,-144.11742,0.0087089315,161.74535,3.6883828e-06,-0.10514217,0,-31750.0,-2105250.0,1905,588
0.0,5.0,58942.77,36.77513,178.68309,-61.1584,0.032166697,167.44875,1.2025182e-05,0.03575924,0,448250.0,-2723250.0,3141,1548
0.0,5.0,4472.1357,44.025467,196.35779,-635.71533,0.04882509,116.88029,6.1798896e-06,-0.8790338,0,24250.0,-2770250.0,3235,700
0.0,5.0,2500.0,47.45092,202.07726,295.1158,0.01023988,166.48518,5.0807903e-06,0.14407088,0,-245750.0,-2792250.0,3279,160
0.0,5.0,35131.895,39.53111,167.78423,35.31999,0.011961364,142.45943,5.1538575e-07,0.6312773,0,530250.0,-1314750.0,324,1712
0.0,5.0,4301.1626,42.47978,172.13815,257.75885,0.0074745966,118.92199,7.3273677e-06,0.5148118,0,-242250.0,-2298750.0,2292,167
0.0,5.0,4031.129,40.44153,191.59793,267.0922,0.0077604605,145.13715,1.981614e-06,0.695436,0,169250.0,-1466750.0,628,990
0.0,5.0,10111.874,33.012383,179.4945,69.768005,0.0042338916,125.72241,5.5663895e-07,0.51921314,0,-164750.0,-1423250.0,541,322
0.0,5.0,6500.0,43.3125,196.35951,422.3457,0.030350976,98.19644,8.980892e-06,-0.5691138,0,20750.0,-2492250.0,2679,693
0.0,4.0,0.0,44.535034,180.52238,151.3472,0.006083801,150.32875,7.728798e-07,0.47810847,0,459250.0,-1790750.0,1276,1570
0.0,5.0,72418.92,51.74024,172.39848,30.202047,0.00841308,166.95619,2.5489537e-06,0.12019204,0,252750.0,-1791750.0,1278,1157
0.0,5.0,75116.58,32.324135,185.80606,-86.02675,0.0066431304,156.16576,9.528386e-06,-0.25225347,0,383750.0,-2810250.0,3315,1419
0.0,5.0,5656.8545,39.083786,179.28583,214.22116,0.005424979,112.84916,3.5855091e-06,0.6978453,0,-218750.0,-2036250.0,1767,214
0.0,5.0,30108.139,39.05129,193.50357,115.80613,0.004291476,127.85499,6.083505e-07,0.7244566,0,240250.0,-1275250.0,245,1132
0.0,5.0,34860.438,41.339577,185.54419,115.67042,0.0071262238,144.71007,3.3586564e-06,0.22737151,0,579750.0,-2053250.0,1801,1811
0.0,5.0,24500.0,44.195915,197.42056,-601.26636,0.0091563845,132.21165,2.6897503e-06,-0.90846485,0,750.0,-2746250.0,3187,653
1.0,1.0,16977.928,42.68569,183.10599,-25.754692,0.001894647,120.4855,2.3566247e-06,-0.21954145,0,-33250.0,-1675250.0,1045,585
0.0,4.0,1581.1388,40.724693,188.9446,214.71268,0.0057963585,122.87944,4.0726404e-06,0.656519,0,154750.0,-1523250.0,741,961
0.0,5.0,3162.2776,40.10447,191.37366,206.58371,0.005718669,147.55048,1.649184e-06,0.61639255,0,254750.0,-1446750.0,588,1161
0.0,5.0,47320.715,39.514565,182.86633,272.08514,0.0049229586,142.45985,1.4220097e-06,0.67014444,0,338250.0,-1311750.0,318,1328
0.0,5.0,66994.41,42.06928,173.43661,106.83066,0.0010756751,234.79185,7.075839e-06,0.20054808,0,34750.0,-1791250.0,1277,721
0.0,5.0,19300.26,44.04937,179.79681,-338.87213,0.0055799577,117.55328,8.8989947e-07,-0.29387468,0,-176750.0,-2388750.0,2472,298
0.0,5.0,21965.883,44.747448,179.78046,-371.00906,0.0024792477,209.87035,6.2663767e-06,-0.038095374,0,-55750.0,-2153250.0,2001,540
0.0,5.0,12658.989,45.264294,205.45737,-286.4805,0.0051825996,180.47107,5.7231427e-06,-0.5375478,0,-285750.0,-2646250.0,2987,80
0.0,5.0,8139.41,41.14422,184.72256,2.9778805,0.012139588,249.51434,4.1688586e-06,0.37809244,0,-309750.0,-1938750.0,1572,32
0.0,4.0,7762.0874,45.38756,177.88129,-504.07892,0.007324561,136.12503,1.5707518e-06,-0.2064553,0,-154750.0,-2371750.0,2438,342
0.0,5.0,146758.31,43.696384,174.48431,-46.879463,0.0018098471,145.82199,5.6055264e-06,0.39097166,0,624250.0,-2160250.0,2015,1900
0.0,5.0,13500.0,43.996437,193.75002,-4.0566897,0.01102226,145.53372,4.6895157e-06,0.2605221,0,348750.0,-2186250.0,2067,1349
0.0,5.0,27829.84,44.66077,180.58118,-331.9221,0.0014039773,204.0447,3.8680932e-06,-0.08491572,0,-39250.0,-2152250.0,1999,573
0.0,4.0,39195.023,43.668182,198.12666,-802.76025,0.002478274,139.9482,1.2912469e-06,-0.8788236,0,-124750.0,-2571750.0,2838,402
0.0,5.0,56446.88,40.28709,162.39415,71.40242,0.0057564247,148.20587,1.7094625e-06,0.64475596,0,487250.0,-1404250.0,503,1626
