carbonate_host,lithology_code,dist_faults,moho_depth,lab_depth,gravity,gravity_hgm,mag_rtp,mag_hgm,shape_index,label,x,y
0.0,5.0,56200.535,44.12002,171.31853,-148.67671,0.0055671693,158.63779,5.842755e-06,-0.15400715,0,159750.0,-1807250.0
0.0,4.0,11715.375,43.01981,203.6808,-574.85895,0.010108384,150.11208,3.664907e-06,-0.9202025,0,-44250.0,-2611250.0
0.0,5.0,22588.715,44.10385,200.09714,-787.9452,0.008292812,126.90198,2.0682915e-06,-0.88218445,0,-107750.0,-2595750.0
0.0,4.0,1500.0,41.15335,187.30458,-354.26114,0.0018099723,89.7626,2.4726214e-06,-0.25751573,0,-41750.0,-2398250.0
0.0,4.0,1000.0,40.06602,188.32932,189.98056,0.0018946122,158.42676,2.8224467e-06,0.6029591,0,182250.0,-1532750.0
0.0,5.0,707.1068,41.287548,171.9859,-102.836815,0.017868184,105.276924,4.1383105e-06,0.6403678,0,-255250.0,-2274750.0
1.0,5.0,1118.0339,41.544792,184.46796,159.56206,0.0022886288,105.53712,8.609148e-06,0.80473834,0,582750.0,-2482250.0
0.0,5.0,27294.688,44.274452,186.89856,-29.431314,0.0019174168,161.55151,2.870389e-06,0.5054409,0,-11750.0,-1612250.0
0.0,5.0,27973.201,45.98167,197.94592,-321.3898,0.013022613,196.62407,4.3482455e-06,-0.9242767,0,-76750.0,-2723250.0
0.0,5.0,9604.687,34.60687,179.88611,80.37746,0.014230567,132.5372,8.0865783e-07,0.46277097,0,-163250.0,-1465250.0
0.0,5.0,59810.117,40.65096,173.18196,-7.5298705,0.003867809,96.88219,1.7247618e-06,0.49531147,0,535750.0,-2650250.0
0.0,5.0,12747.549,46.945263,179.5781,-458.8585,0.0006570704,92.65375,1.1757775e-06,-0.17888883,0,-112250.0,-2363250.0
0.0,5.0,3000.0,41.843197,190.80042,674.8277,0.021232061,238.25317,5.5300698e-06,-0.7676027,0,-155750.0,-2481750.0
0.0,5.0,15700.318,45.068413,185.13531,299.66562,0.004588778,125.027504,1.9827132e-06,0.01800853,0,38750.0,-2313250.0
0.0,5.0,66241.984,47.444256,210.18224,198.84528,0.006016172,174.06204,5.6905304e-07,0.5299906,0,330250.0,-1878750.0
0.0,5.0,61983.867,44.97501,186.66812,-36.38633,0.0056231124,117.38779,3.0713927e-06,0.108339645,0,430250.0,-2100250.0
0.0,6.0,3201.562,44.96038,197.37196,-506.69537,0.023464372,252.81602,2.3517737e-06,-0.92973495,0,111250.0,-2804250.0
0.0,4.0,34014.703,45.09456,196.03737,11.972523,0.0043421034,150.98773,1.0595878e-06,0.17646416,0,212750.0,-1914250.0
0.0,5.0,98792.71,43.722057,184.72226,-99.79151,0.0035370647,118.67674,4.91715e-06,0.26487353,0,48250.0,-1651250.0
0.0,5.0,23926.973,43.303425,187.87195,-146.05959,0.0034673756,75.79395,2.66742e-06,-0.36960027,0,-281250.0,-2448750.0
0.0,5.0,3354.102,47.31114,192.63193,96.841484,0.008597188,132.11958,5.138998e-06,0.25139835,0,192750.0,-2320750.0
1.0,1.0,3807.8865,48.399685,196.59865,167.01096,0.006246969,80.992165,1.2392613e-05,0.27480918,0,262750.0,-2430250.0
0.0,5.0,5000.0,38.69224,177.69884,173.09198,0.022602383,89.23054,3.4658406e-06,0.6625092,0,-188750.0,-2045250.0
1.0,1.0,23521.268,42.82317,183.25691,-42.982784,0.0024053946,111.130196,2.7271594e-06,-0.21338949,0,-26250.0,-1678250.0
0.0,5.0,43502.875,52.661785,172.30869,-37.336338,0.0051885936,165.8332,2.8853012e-06,0.23280984,0,277750.0,-1768750.0
0.0,5.0,11768.603,40.108734,191.04507,278.37064,0.0022303222,157.02954,2.4718088e-06,0.65144026,0,198250.0,-1475250.0
0.0,5.0,122200.66,42.092068,184.69421,54.631527,0.0048335367,158.54884,4.1232643e-06,-0.085294925,0,-3750.0,-2055750.0
0.0,4.0,14637.281,38.417187,183.87746,-6.5838795,0.006241272,112.97944,8.8623574e-07,0.37119865,0,-131250.0,-1545250.0
0.0,5.0,2500.0,48.259674,202.21465,175.33673,0.010172794,209.87877,1.7454673e-05,-0.5153694,0,141750.0,-2519250.0
